cpu_cores_total,cpu_watts,gpu_cores_total,gpu_vram_total_gb,gpu_watts,ram_total_gb,cpu_cores_used,gpu_cores_used,gpu_vram_used_gb,ram_used_gb,current_cpu_power_w,current_gpu_power_w,req_cpu_cores,req_gpu_cores,req_gpu_vram_gb,req_ram_gb
8,250,10240,24,200,128,0,2462,9.8,35.3,0.0,48.09,3,6695,3.1,8.9
32,125,2048,16,450,512,20,286,1.4,15.5,78.12,62.84,6,242,1.7,558.0
32,250,2048,16,300,128,6,933,14.7,18.8,46.88,136.67,33,185,2.5,7.5
16,250,2048,48,350,256,2,704,16.8,55.8,31.25,120.31,5,332,11.4,122.9
64,95,4096,8,350,128,13,824,2.7,32.5,19.3,70.41,19,290,2.0,75.8
32,180,10240,8,200,128,20,3877,0.3,62.8,112.5,75.72,9,10295,1.7,18.0
24,125,2048,16,200,128,7,510,6.3,47.7,36.46,49.8,2,439,4.8,37.2
8,125,10240,16,200,64,2,4111,3.4,18.1,31.25,80.29,2,1024,1.5,15.4
64,125,2048,24,450,512,7,487,5.5,202.0,13.67,107.01,27,2012,8.9,123.3
8,250,2048,8,200,64,0,274,2.3,12.8,0.0,26.76,7,600,0.5,19.1
8,180,8192,8,200,128,0,731,2.9,50.5,0.0,17.85,2,8143,4.5,19.4
24,95,8192,16,450,64,16,3200,1.6,6.3,63.33,175.78,6,7770,3.4,3.3
64,180,4096,16,450,256,19,283,9.3,40.7,53.44,31.09,36,4875,1.7,69.1
32,250,2048,16,450,64,27,768,3.1,32.6,210.94,168.75,33,530,2.6,28.6
8,180,8192,48,450,128,1,4756,9.8,42.8,22.5,261.25,3,1186,10.0,12.5
16,95,10240,8,200,512,3,4307,2.8,43.7,17.81,84.12,2,5110,4.9,113.6
32,125,2048,24,350,64,24,1432,6.5,9.4,93.75,244.73,39,230,1.5,19.0
24,180,2048,8,300,64,6,526,2.3,5.9,45.0,77.05,6,178,4.0,7.7
64,95,2048,48,200,512,50,759,9.1,230.5,74.22,74.12,26,657,7.7,381.6
16,250,10240,8,300,256,12,3087,1.2,111.6,187.5,90.44,5,1693,5.3,46.8
8,250,2048,48,300,256,1,479,4.0,81.3,31.25,70.17,4,524,5.1,127.5
24,95,2048,16,450,512,3,1080,5.6,107.5,11.88,237.3,4,333,15.7,264.6
64,125,10240,48,200,64,15,115,15.6,15.5,29.3,2.25,5,1624,29.0,7.8
24,125,10240,24,350,128,10,4623,6.6,25.7,52.08,158.01,5,1310,4.4,35.9
24,250,2048,8,450,64,7,271,7.4,55.4,72.92,59.55,5,612,1.0,10.9
24,250,2048,48,200,64,6,782,21.6,49.3,62.5,76.37,8,471,44.7,5.2
16,180,10240,16,450,512,3,3558,3.5,79.6,33.75,156.36,2,2416,2.0,140.4
32,180,4096,8,300,256,11,1482,1.7,42.4,61.88,108.54,8,518,2.7,159.2
24,250,10240,24,350,64,5,9330,20.2,33.8,52.08,318.9,7,1712,5.6,69.4
32,95,4096,8,450,512,20,1294,1.8,109.8,59.38,142.16,23,1034,2.2,141.2
24,180,2048,24,300,64,8,1005,8.1,17.5,60.0,147.22,7,598,3.9,17.9
24,125,10240,24,350,128,11,438,18.1,109.3,57.29,14.97,25,6347,13.2,19.2
8,125,8192,48,300,512,1,1114,16.6,85.9,15.62,40.8,2,2174,24.3,452.2
8,250,2048,8,200,64,1,1076,1.7,14.0,31.25,105.08,2,225,5.5,6.5
16,180,2048,8,300,64,4,136,3.8,20.7,45.0,19.92,1,1206,1.6,4.9
8,180,8192,48,450,128,3,2767,10.5,33.9,67.5,152.0,2,2223,3.6,9.7
32,180,4096,48,450,256,18,339,12.6,104.1,101.25,37.24,3,653,10.6,32.8
24,95,8192,8,300,64,14,3123,4.0,42.7,55.42,114.37,14,4026,1.8,13.3
8,180,4096,8,200,128,2,1427,1.9,22.9,45.0,69.68,6,1057,2.1,35.0
64,95,8192,8,300,128,27,395,1.5,37.3,40.08,14.47,18,1636,1.8,7.8
64,125,10240,48,200,64,7,3459,8.3,22.0,13.67,67.56,15,8273,29.8,8.4
32,95,8192,8,300,128,10,3532,4.3,25.2,29.69,129.35,17,1236,2.2,78.9
24,95,2048,8,200,64,10,859,0.7,21.6,39.58,83.89,12,256,0.6,3.6
24,95,2048,16,300,64,3,379,2.3,22.8,11.88,55.52,2,511,16.5,33.8
64,125,4096,16,300,128,14,400,0.5,69.2,27.34,29.3,21,688,2.1,86.3
8,125,8192,24,300,512,5,2566,6.1,147.7,78.12,93.97,2,2360,5.6,97.8
16,125,4096,48,350,64,2,287,4.3,18.9,15.62,24.52,2,749,4.6,4.9
8,250,4096,16,200,64,3,1401,4.0,6.9,93.75,68.41,2,1008,12.4,14.4
24,125,8192,24,450,64,4,1069,2.2,37.9,20.83,58.72,7,1968,2.5,5.2
8,250,8192,48,200,128,1,7402,30.7,32.7,31.25,180.71,5,1655,3.0,9.6
24,125,2048,48,200,128,11,760,34.2,86.3,57.29,74.22,5,594,10.1,23.1
8,125,10240,16,200,64,3,4836,1.9,12.2,46.88,94.45,1,4085,1.3,43.8
24,95,2048,8,200,64,7,850,2.0,53.6,27.71,83.01,3,1138,5.9,34.2
24,95,8192,48,200,64,6,1645,7.4,14.6,23.75,40.16,4,490,7.6,8.4
32,250,8192,48,200,256,6,2862,7.1,73.6,46.88,69.87,8,5171,12.0,56.8
64,250,8192,24,200,512,7,2212,4.8,91.3,27.34,54.0,26,1614,10.7,249.9
32,250,4096,48,200,512,14,302,16.9,156.7,109.38,14.75,36,4784,10.9,140.6
64,250,10240,8,300,128,59,4334,1.6,48.5,230.47,126.97,11,2619,0.7,9.0
16,250,2048,48,300,512,2,387,14.5,173.1,31.25,56.69,9,849,27.4,111.9
24,180,2048,8,300,64,6,1369,5.1,25.4,45.0,200.54,4,880,7.7,39.2
24,125,10240,48,200,128,21,2820,18.5,0.6,109.38,55.08,2,1448,4.4,26.5
24,180,8192,48,350,512,3,4568,17.7,67.5,22.5,195.17,2,949,40.7,122.1
8,250,2048,8,350,128,1,277,6.1,112.0,31.25,47.34,3,1073,1.4,33.8
32,180,8192,24,350,512,22,4483,8.0,139.7,123.75,191.53,32,1987,7.0,152.1
16,125,4096,16,450,64,1,1661,6.6,47.1,7.81,182.48,16,1076,3.3,17.2
8,180,4096,16,350,512,1,1414,5.8,100.6,22.5,120.83,10,809,1.6,63.8
24,125,2048,8,300,256,11,656,5.5,32.7,57.29,96.09,20,525,0.9,75.8
24,95,4096,48,200,128,12,812,5.6,51.2,47.5,39.65,8,675,32.1,27.7
8,250,2048,8,350,128,0,619,3.4,29.0,0.0,105.79,1,246,2.3,8.0
16,95,4096,24,300,128,2,705,1.2,47.4,11.88,51.64,4,803,6.0,41.1
24,180,8192,8,350,512,3,930,7.0,196.7,22.5,39.73,6,1882,1.1,427.2
8,125,8192,8,450,512,2,4647,0.5,131.9,31.25,255.27,1,2172,5.5,186.6
16,125,4096,48,200,256,1,1224,10.5,38.0,7.81,59.77,3,834,36.4,95.3
64,250,8192,24,200,512,14,3413,14.7,64.3,54.69,83.33,14,2090,6.9,311.3
32,125,8192,24,300,256,12,2878,10.5,72.7,46.88,105.4,4,1969,4.9,270.4
24,95,8192,16,450,64,1,3103,12.8,60.1,3.96,170.45,10,4455,4.0,10.0
64,180,2048,24,450,512,19,1869,2.4,101.8,53.44,410.67,15,496,2.4,77.4
8,180,10240,8,200,64,0,5078,2.7,32.3,0.0,99.18,1,2812,8.4,15.3
64,95,10240,48,200,512,46,6861,21.5,116.1,68.28,134.0,54,6207,7.7,118.2
24,95,8192,16,450,64,5,536,8.3,27.6,19.79,29.44,23,756,10.5,32.5
32,125,2048,16,300,128,8,1888,4.2,16.1,31.25,276.56,5,1254,0.9,16.8
24,250,2048,48,200,64,9,396,12.4,10.7,93.75,38.67,26,137,9.7,15.1
16,125,8192,16,200,512,4,2498,7.1,71.2,31.25,60.99,3,1097,3.9,115.1
32,180,4096,48,300,128,10,2109,3.0,17.9,56.25,154.47,7,1015,52.8,28.3
32,250,8192,48,200,256,9,1011,5.5,112.4,70.31,24.68,20,1803,11.3,125.2
16,180,10240,16,450,512,0,4607,3.9,70.4,0.0,202.46,9,1244,1.4,121.9
24,125,10240,48,200,128,12,1384,7.0,18.4,62.5,27.03,4,2862,5.2,141.2
8,250,2048,8,350,128,3,31,2.2,116.1,93.75,5.3,3,164,9.5,37.1
16,95,4096,24,300,128,2,1514,13.0,39.7,11.88,110.89,5,1206,13.3,117.7
24,95,8192,24,200,128,7,1116,11.2,22.9,27.71,27.25,21,8496,13.0,29.7
8,250,4096,16,200,128,2,1270,13.8,45.9,62.5,62.01,2,593,3.2,13.2
64,95,8192,8,300,128,24,1565,2.5,89.0,35.62,57.31,38,2167,1.3,116.4
24,180,8192,24,200,64,1,6071,6.1,51.8,7.5,148.22,15,496,4.1,47.3
24,125,8192,24,450,64,13,1025,7.0,13.5,67.71,56.3,7,1372,1.4,7.9
24,95,4096,16,300,64,2,503,6.6,17.2,7.92,36.84,19,1216,1.2,16.6
16,250,8192,16,300,256,0,2817,1.4,202.6,0.0,103.16,5,1918,5.9,27.5
8,250,4096,16,200,64,1,2904,5.0,38.8,31.25,141.8,1,388,16.9,16.1
16,95,4096,24,450,256,10,1495,10.2,148.6,59.38,164.25,4,726,2.1,37.6
64,95,4096,16,300,128,17,1262,1.5,39.5,25.23,92.43,42,536,4.5,10.9
32,125,2048,16,450,512,6,417,3.0,83.9,23.44,91.63,32,163,2.3,149.1
16,125,8192,24,300,256,5,851,9.2,35.1,39.06,31.16,7,2188,1.4,69.9
8,180,10240,8,200,64,1,3249,1.8,9.7,22.5,63.46,4,2903,0.5,62.9
64,250,10240,8,300,128,16,4409,4.5,26.4,62.5,129.17,5,6417,2.9,31.7
24,125,2048,8,300,512,4,535,0.5,185.0,20.83,78.37,7,1385,1.4,138.5
64,180,2048,24,450,512,4,521,8.4,198.9,11.25,114.48,34,600,5.5,61.6
16,125,10240,16,200,128,14,2991,8.0,7.9,109.38,58.42,14,1840,3.8,117.2
16,180,2048,16,450,64,7,589,2.3,12.6,78.75,129.42,5,271,7.5,4.3
8,180,10240,8,200,64,5,3475,1.2,9.3,112.5,67.87,2,4523,5.6,13.1
16,180,2048,8,300,64,10,292,2.7,32.4,112.5,42.77,3,1172,3.1,7.9
16,180,10240,16,350,128,2,2095,6.3,24.8,22.5,71.61,2,10151,2.4,37.4
64,95,10240,24,200,512,6,2982,3.3,75.6,8.91,58.24,26,2569,7.1,72.5
32,180,4096,48,450,256,7,1673,7.9,31.5,39.38,183.8,9,622,54.9,60.2
8,250,4096,16,200,128,3,2130,6.9,45.6,93.75,104.0,3,2022,13.0,13.2
32,250,4096,16,350,128,8,734,4.4,24.9,62.5,62.72,29,1133,7.3,18.2
24,250,2048,24,300,64,10,379,2.0,46.9,104.17,55.52,5,679,11.1,4.5
24,125,10240,24,300,128,5,1488,4.1,37.9,26.04,43.59,22,2238,3.5,19.0
16,180,10240,16,350,128,2,6342,8.0,22.6,22.5,216.77,4,1196,1.1,69.4
32,250,4096,16,350,64,14,1113,5.4,46.4,109.38,95.1,8,1281,4.4,8.9
16,95,4096,24,300,128,9,582,5.6,38.8,53.44,42.63,3,1543,6.6,140.8
8,125,8192,24,300,512,3,1586,4.3,164.4,46.88,58.08,5,9552,11.2,76.9
64,95,2048,8,300,512,14,239,1.1,170.2,20.78,35.01,14,237,1.8,264.3
24,250,2048,24,300,512,6,639,15.1,142.7,62.5,93.6,3,1894,4.2,62.8
32,180,4096,16,450,512,9,1159,5.6,176.5,50.62,127.33,2,417,2.6,63.8
8,250,10240,24,350,512,0,682,9.2,130.3,0.0,23.31,2,4936,12.6,141.7
8,250,2048,8,200,64,1,1056,3.9,6.8,31.25,103.12,5,390,8.9,8.9
16,180,4096,48,200,128,5,1020,21.2,71.8,56.25,49.8,5,827,11.0,20.0
8,95,8192,24,450,512,0,7502,3.1,125.0,0.0,412.1,3,2456,16.2,51.5
16,125,8192,16,200,512,2,1661,5.8,22.4,15.62,40.55,8,809,2.2,80.6
24,95,8192,48,300,256,10,7055,2.2,39.1,39.58,258.36,13,733,18.3,25.0
16,250,8192,16,350,256,3,3547,5.7,144.1,46.88,151.54,2,2083,10.6,166.3
8,125,8192,24,300,512,2,1512,4.9,208.4,31.25,55.37,1,996,24.1,536.4
64,95,8192,8,300,128,23,3373,2.6,8.4,34.14,123.52,10,2045,4.8,35.0
24,125,4096,8,200,512,1,421,2.0,29.6,5.21,20.56,4,463,0.8,47.8
64,125,10240,24,300,128,10,2309,22.0,35.1,19.53,67.65,14,1907,6.6,44.8
16,125,10240,16,200,128,9,4958,6.1,38.5,70.31,96.84,20,1391,4.4,52.8
64,250,8192,48,350,512,17,1147,3.1,102.6,66.41,49.01,5,413,2.5,196.8
8,180,8192,8,350,64,2,4373,3.4,18.5,45.0,186.83,3,2019,2.3,26.1
8,125,10240,8,200,64,0,610,4.1,40.3,0.0,11.91,6,6911,1.1,4.8
16,95,8192,24,200,128,0,6038,17.4,21.6,0.0,147.41,7,2311,2.9,38.1
8,250,4096,16,200,128,1,1329,13.2,42.0,31.25,64.89,3,305,2.4,64.8
16,250,2048,24,200,256,2,1604,11.4,50.6,31.25,156.64,12,330,3.0,22.1
24,180,10240,24,450,64,7,4305,19.0,10.4,52.5,189.18,6,4858,19.4,5.6
16,125,8192,24,300,256,5,4306,6.6,98.6,39.06,157.69,10,8896,3.3,203.1
24,180,8192,8,350,512,7,2145,0.7,99.2,52.5,91.64,3,3384,1.8,110.1
32,250,2048,16,450,64,29,1305,12.3,7.2,226.56,286.74,18,885,4.7,5.6
32,125,8192,16,300,64,10,2380,1.7,31.5,39.06,87.16,8,4480,6.8,20.1
64,250,2048,24,450,64,2,294,9.2,36.6,7.81,64.6,15,1302,6.6,18.6
32,125,10240,16,300,64,4,1828,4.0,12.3,15.62,53.55,4,2554,2.5,42.6
24,125,10240,24,200,256,4,1168,7.4,23.8,20.83,22.81,5,6289,4.9,237.1
64,250,10240,48,300,512,30,7713,31.7,405.3,117.19,225.97,8,1141,13.9,310.4
24,125,2048,8,300,256,7,325,6.7,175.5,36.46,47.61,29,382,2.4,67.2
32,250,4096,16,350,128,11,589,2.5,40.5,85.94,50.33,14,298,0.9,27.3
64,95,4096,8,350,128,42,439,2.5,46.9,62.34,37.51,63,1755,0.8,87.9
8,180,2048,16,450,64,2,720,5.2,21.0,45.0,158.2,2,246,3.2,29.2
64,95,8192,16,450,256,5,2729,10.6,105.2,7.42,149.91,19,4388,1.5,42.4
32,180,4096,8,300,256,4,3367,3.2,46.1,22.5,246.61,19,626,0.5,39.7
64,95,2048,24,450,64,14,779,7.4,7.5,20.78,171.17,40,643,26.0,9.6
8,180,8192,48,450,128,0,446,10.8,34.6,0.0,24.5,5,711,9.5,29.0
8,250,10240,8,300,512,2,3734,2.2,70.1,62.5,109.39,2,1104,1.8,505.4
32,180,10240,8,200,128,10,7056,1.6,49.4,56.25,137.81,3,3091,2.0,7.2
24,95,2048,16,450,512,7,498,4.5,30.3,27.71,109.42,3,1475,9.2,49.5
24,125,10240,24,200,256,1,1340,4.8,79.2,5.21,26.17,7,723,6.4,26.3
32,95,4096,48,200,64,11,1285,17.3,22.9,32.66,62.74,3,1089,21.9,18.1
64,95,4096,48,350,512,33,1021,15.2,119.8,48.98,87.24,32,469,4.3,109.9
24,95,4096,8,450,128,6,1952,3.3,23.7,23.75,214.45,7,364,2.0,18.6
24,95,8192,16,450,64,2,719,1.7,21.6,7.92,39.5,9,928,2.2,7.5
8,250,2048,48,200,512,1,618,10.7,271.8,31.25,60.35,2,1257,9.7,238.2
16,95,4096,24,450,256,8,1878,9.1,61.9,47.5,206.32,2,486,1.9,17.8
16,125,8192,24,300,256,13,2096,6.7,29.3,101.56,76.76,19,2103,25.5,48.9
64,95,10240,48,200,512,39,2509,15.0,158.7,57.89,49.0,18,2813,20.7,80.9
64,125,2048,24,450,512,41,774,3.9,162.0,80.08,170.07,12,387,3.6,476.0
8,95,8192,16,350,512,2,3997,5.5,119.3,23.75,170.77,9,7796,4.2,144.0
64,95,8192,8,300,128,39,1785,1.4,8.7,57.89,65.37,16,1287,2.3,20.1
24,125,10240,48,350,512,12,1082,3.6,96.0,62.5,36.98,7,3820,44.8,121.7
64,250,4096,24,450,128,7,1733,4.5,114.9,27.34,190.39,15,1169,14.9,10.9
24,125,10240,24,300,128,9,3835,3.9,23.2,46.88,112.35,4,12277,2.5,25.2
32,125,2048,16,300,128,1,474,2.4,3.1,3.91,69.43,18,113,3.9,8.0
64,250,2048,24,450,64,56,1508,12.5,35.3,218.75,331.35,5,343,9.0,8.1
16,180,2048,16,450,64,5,472,6.5,14.0,56.25,103.71,3,2268,1.9,28.2
32,125,4096,8,350,128,25,633,3.0,49.1,97.66,54.09,6,4729,5.2,71.1
16,180,4096,48,200,128,10,759,31.5,45.1,112.5,37.06,3,581,4.4,20.3
24,95,8192,24,350,64,16,2675,5.2,52.4,63.33,114.29,6,615,13.5,67.1
16,95,2048,48,450,256,2,908,17.1,78.1,11.88,199.51,5,1345,3.0,28.0
32,250,4096,16,350,128,9,3229,1.8,34.3,70.31,275.92,3,418,3.1,34.1
32,125,2048,24,350,256,3,318,4.4,243.2,11.72,54.35,14,183,3.1,62.1
32,125,4096,24,300,64,3,2593,2.1,14.7,11.72,189.92,8,439,24.7,19.8
16,180,10240,16,350,128,4,931,15.1,75.1,45.0,31.82,4,1598,17.3,97.8
32,250,4096,16,350,128,10,624,6.8,17.4,78.12,53.32,6,637,13.6,22.6
32,95,4096,8,450,512,2,593,6.3,148.8,5.94,65.15,11,525,1.5,279.3
32,125,2048,24,350,64,6,433,7.3,18.2,23.44,74.0,9,191,6.0,48.5
8,250,10240,24,200,128,7,4017,7.7,51.4,218.75,78.46,2,3827,16.7,31.6
32,180,8192,24,350,512,13,1709,11.9,483.0,73.12,73.02,22,515,1.6,37.3
8,180,2048,16,450,64,2,539,6.6,7.2,45.0,118.43,2,717,1.1,67.8
16,125,4096,48,350,64,4,3207,18.9,13.4,31.25,274.04,2,462,23.2,71.7
8,125,10240,16,200,64,1,4351,3.0,15.1,15.62,84.98,2,2915,4.6,39.8
64,95,4096,8,300,128,9,2494,4.9,106.4,13.36,182.67,11,1324,1.7,23.0
64,95,2048,48,200,512,29,540,12.6,28.2,43.05,52.73,13,1120,7.7,200.9
24,95,2048,16,450,512,8,1341,2.7,39.8,31.67,294.65,2,121,14.9,515.7
24,250,2048,48,200,64,8,488,12.4,9.6,83.33,47.66,9,189,6.9,16.5
32,95,2048,24,200,64,4,485,12.7,55.2,11.88,47.36,2,2437,19.8,10.4
64,180,4096,16,450,256,7,542,5.6,49.5,19.69,59.55,12,997,1.4,56.5
32,95,2048,48,450,128,8,597,8.6,49.7,23.75,131.18,9,1428,12.5,8.4
8,250,2048,48,300,256,1,634,30.3,67.6,31.25,92.87,3,435,2.7,50.5
24,125,4096,8,350,64,0,553,1.2,29.2,0.0,47.25,23,557,1.4,13.6
16,125,8192,24,300,256,3,1862,17.0,86.5,23.44,68.19,7,9115,6.1,41.8
8,250,10240,8,300,512,1,4514,4.6,74.6,31.25,132.25,3,2524,0.7,109.5
32,95,8192,8,300,128,6,2716,1.7,13.6,17.81,99.46,4,1655,1.1,6.7
32,180,10240,24,200,128,14,1808,1.8,52.4,78.75,35.31,8,3025,1.6,78.5
32,125,4096,24,300,64,4,1462,9.6,13.0,15.62,107.08,9,321,3.1,43.5
32,180,4096,8,300,256,20,1942,1.9,109.2,112.5,142.24,8,576,0.7,117.5
32,250,8192,8,450,256,9,3868,3.0,107.6,70.31,212.48,36,4171,8.4,62.6
32,180,2048,24,450,128,27,642,1.5,76.0,151.88,141.06,7,592,14.1,86.9
32,250,2048,24,350,64,6,974,19.8,17.4,46.88,166.46,7,440,1.6,17.9
24,250,4096,16,300,128,1,2265,3.9,73.7,10.42,165.89,4,4174,19.2,18.0
24,125,8192,24,350,64,2,5772,2.4,24.0,10.42,246.61,5,8123,2.0,27.3
64,95,4096,8,300,128,8,2140,0.5,29.1,11.88,156.74,17,1674,4.4,8.4
64,125,4096,16,300,128,30,2293,7.8,8.1,58.59,167.94,5,1678,7.4,12.1
64,95,4096,16,300,128,5,1075,11.1,38.4,7.42,78.74,15,580,4.2,19.7
24,125,10240,48,200,128,2,2832,23.3,47.3,10.42,55.31,7,836,7.9,23.9
32,250,10240,8,350,512,10,810,6.5,72.7,78.12,27.69,2,922,0.9,39.9
24,95,2048,8,200,64,5,572,5.2,2.6,19.79,55.86,18,116,0.8,10.6
8,180,4096,8,200,128,1,249,3.2,99.7,22.5,12.16,1,704,3.2,35.3
8,180,4096,8,200,128,0,2781,1.6,15.0,0.0,135.79,3,673,1.0,29.6
32,180,4096,8,300,256,7,1341,3.6,42.8,39.38,98.22,10,642,1.2,68.9
24,95,8192,8,300,64,12,4955,1.1,10.0,47.5,181.46,6,4399,1.0,8.4
16,125,10240,16,200,128,10,1878,6.0,59.4,78.12,36.68,10,5685,1.6,7.5
64,125,10240,48,200,64,14,5719,15.8,3.8,27.34,111.7,15,2444,2.7,8.3
8,250,10240,8,300,512,1,8148,3.1,416.6,31.25,238.71,2,2419,1.8,92.9
16,180,10240,16,350,128,6,2637,4.1,37.7,67.5,90.13,4,759,3.0,8.1
32,125,2048,16,450,512,19,1115,9.5,29.0,74.22,245.0,8,491,1.7,110.4
24,180,8192,48,350,512,7,2127,6.0,43.3,52.5,90.88,5,1523,13.2,91.0
64,95,8192,8,300,128,13,1734,4.8,22.8,19.3,63.5,23,466,2.0,147.4
32,125,4096,8,350,128,6,834,1.4,53.0,23.44,71.26,8,994,2.1,38.2
64,180,8192,48,200,128,5,7435,8.8,12.6,14.06,181.52,9,2021,12.1,151.7
24,250,2048,24,300,512,2,827,13.2,69.2,20.83,121.14,23,133,4.9,469.9
64,180,4096,16,450,256,21,378,1.6,75.3,59.06,41.53,4,370,1.9,169.5
32,250,2048,16,450,64,9,601,1.8,45.3,70.31,132.06,4,315,2.5,18.9
24,250,2048,8,300,128,7,670,3.7,109.7,72.92,98.14,5,467,1.8,26.5
8,250,10240,24,200,128,2,1673,6.1,14.8,62.5,32.68,5,1614,1.6,23.1
64,95,8192,8,300,128,3,4269,6.5,43.2,4.45,156.34,18,1929,7.0,69.8
64,250,10240,48,300,512,19,382,20.6,276.9,74.22,11.19,8,1233,9.5,135.8
64,250,10240,48,300,512,3,3074,7.0,125.2,11.72,90.06,31,807,37.5,251.2
64,250,2048,24,450,64,6,1094,6.6,28.4,23.44,240.38,14,1291,4.9,13.1
64,95,4096,8,350,128,5,3497,1.9,55.3,7.42,298.82,38,751,1.1,7.5
16,250,2048,48,300,512,4,657,13.2,90.4,62.5,96.24,3,518,7.0,78.7
8,250,2048,8,200,64,2,623,2.6,47.8,62.5,60.84,2,552,1.6,72.5
32,95,10240,24,300,64,15,1949,11.5,22.1,44.53,57.1,10,8224,6.0,36.0
32,125,8192,24,300,256,4,2657,7.9,62.8,15.62,97.3,19,1810,9.4,58.0
16,180,4096,24,200,256,12,854,9.1,74.4,135.0,41.7,3,789,2.2,47.1
8,180,4096,48,350,64,2,1635,4.0,29.1,45.0,139.71,3,3203,25.3,17.6
24,95,2048,8,200,64,8,496,2.2,30.5,31.67,48.44,23,567,7.9,63.2
32,250,4096,16,200,256,5,1112,6.4,21.9,39.06,54.3,7,984,3.2,69.2
16,180,10240,16,450,512,6,2212,4.0,339.4,67.5,97.21,2,1960,2.3,66.6
16,250,2048,24,350,64,2,269,8.9,24.9,31.25,45.97,8,409,3.0,11.4
64,250,2048,48,450,64,26,1313,36.2,23.2,101.56,288.5,77,1790,7.5,18.0
16,180,10240,16,450,128,1,6934,5.6,62.1,11.25,304.72,4,5366,13.7,23.8
24,95,8192,48,300,256,5,2527,9.3,175.3,19.79,92.54,2,6287,28.1,99.5
32,250,8192,24,300,64,4,709,6.8,30.2,31.25,25.96,5,1132,6.4,18.5
64,95,8192,16,450,256,50,3711,6.0,20.9,74.22,203.85,10,552,3.7,76.7
16,180,4096,16,350,64,4,3402,4.5,23.3,45.0,290.7,2,593,5.0,4.0
24,180,8192,8,350,512,10,758,5.5,101.3,75.0,32.39,7,1705,1.5,63.5
8,125,10240,16,200,64,1,4864,8.1,33.7,15.62,95.0,9,2689,5.8,19.1
24,180,2048,8,300,64,6,492,1.8,19.0,45.0,72.07,7,543,0.6,35.6
64,95,2048,48,200,512,5,509,10.6,113.1,7.42,49.71,16,435,31.2,122.2
32,125,10240,24,200,256,3,1911,9.7,118.1,11.72,37.32,8,848,2.5,138.6
32,125,8192,24,300,256,3,2503,2.3,98.5,11.72,91.66,15,1825,3.3,40.5
8,95,10240,16,350,128,3,3769,8.5,59.0,35.62,128.82,3,7949,5.0,19.6
8,125,2048,48,450,64,4,583,22.0,28.8,62.5,128.1,1,380,5.1,15.8
32,250,2048,16,300,128,6,215,0.5,29.1,46.88,31.49,8,796,5.4,34.3
32,95,4096,48,350,512,13,2012,17.4,43.7,38.59,171.92,9,2569,4.2,274.3
24,125,10240,24,350,128,1,743,1.0,19.9,5.21,25.4,6,2294,1.9,90.7
24,95,8192,48,300,256,7,2428,24.6,34.9,27.71,88.92,13,3656,8.7,49.8
64,95,2048,48,200,512,47,599,12.1,93.8,69.77,58.5,16,1400,8.8,103.2
64,180,2048,24,450,512,7,1340,9.6,434.3,19.69,294.43,57,286,4.4,32.3
16,125,4096,48,350,64,3,3515,43.6,20.5,23.44,300.35,7,1050,26.5,12.3
8,95,4096,48,200,512,1,2735,21.4,66.7,11.88,133.54,3,4798,23.5,206.0
8,250,8192,48,200,128,1,4164,24.7,45.7,31.25,101.66,2,8284,9.1,69.6
16,95,2048,48,450,256,2,332,7.2,93.4,11.88,72.95,3,452,4.0,23.0
32,180,8192,24,350,512,7,603,9.7,174.6,39.38,25.76,9,421,3.9,114.9
8,125,10240,8,350,64,1,9384,1.4,12.0,15.62,320.74,3,1493,3.1,18.5
64,95,8192,16,450,256,15,5051,2.3,63.6,22.27,277.46,9,4098,15.6,32.6
24,125,10240,48,200,128,3,4006,8.6,29.0,15.62,78.24,4,1030,2.4,16.2
8,95,2048,24,300,64,2,795,16.9,6.4,23.75,116.46,1,327,21.8,75.8
24,125,2048,8,300,512,7,1439,2.2,435.9,36.46,210.79,14,179,2.8,256.2
64,95,4096,8,300,128,14,441,2.9,31.3,20.78,32.3,36,343,2.1,23.4
16,250,8192,16,300,256,4,3754,6.3,44.3,62.5,137.48,3,3641,1.3,127.0
16,250,8192,16,350,256,1,2424,9.3,158.1,15.62,103.56,4,993,1.9,81.4
64,95,4096,48,350,512,8,2203,8.1,304.7,11.88,188.24,59,1247,3.3,33.0
64,125,8192,16,300,512,21,1805,5.2,105.5,41.02,66.1,4,1758,3.4,132.5
24,95,8192,48,300,256,7,6228,11.0,47.6,27.71,228.08,2,2124,14.4,256.4
64,125,8192,24,200,512,55,2406,2.3,72.3,107.42,58.74,17,1644,2.0,31.1
32,95,4096,8,450,512,5,824,1.4,105.4,14.84,90.53,4,805,1.6,201.0
64,250,8192,48,200,512,9,2241,5.8,50.9,35.16,54.71,39,2379,22.8,76.2
16,250,8192,16,350,256,3,2501,2.3,185.0,46.88,106.85,11,888,4.5,143.7
32,250,2048,16,300,128,11,453,2.4,37.2,85.94,66.36,5,1896,3.8,85.5
64,250,2048,24,450,64,58,957,9.8,13.7,226.56,210.28,8,594,2.4,12.7
24,125,10240,24,350,128,9,4059,7.1,24.8,46.88,138.74,5,1773,2.6,15.9
32,180,4096,16,450,512,2,1646,3.6,109.6,11.25,180.83,7,213,3.9,205.6
64,95,8192,8,300,128,6,1834,1.4,45.6,8.91,67.16,62,5242,6.0,23.2
