cpu_cores_total,cpu_watts,gpu_cores_total,gpu_vram_total_gb,gpu_watts,ram_total_gb,cpu_cores_used,gpu_cores_used,gpu_vram_used_gb,ram_used_gb,current_cpu_power_w,current_gpu_power_w,req_cpu_cores,req_gpu_cores,req_gpu_vram_gb,req_ram_gb,execution_time,sla_violation
8,250,10240,8,300,512,2,1504,1.0,138.5,62.5,44.06,5,2914,5.5,116.8,5.84,0
24,125,2048,16,200,128,3,697,3.9,15.7,15.62,68.07,9,334,3.7,32.0,9.8,0
24,125,8192,24,450,64,10,2916,11.2,5.1,52.08,160.18,6,852,3.4,24.4,4.87,0
8,95,8192,48,350,512,5,967,3.8,430.2,59.38,41.31,2,2333,10.8,33.0,16.87,0
32,95,4096,8,450,512,3,799,2.8,116.4,8.91,87.78,5,715,1.9,229.6,15.26,0
24,95,8192,8,300,64,12,381,3.2,48.4,47.5,13.95,2,1953,2.4,4.3,10.79,0
24,95,8192,8,350,256,4,447,4.8,107.1,15.83,19.1,13,1455,1.3,66.0,6.77,0
64,125,8192,24,200,512,10,1639,3.0,20.5,19.53,40.01,17,689,6.9,70.6,9.65,0
64,95,10240,48,200,512,12,3914,30.1,277.9,17.81,76.45,4,1749,3.8,104.0,10.1,0
8,125,10240,16,200,64,3,7535,3.6,38.9,46.88,147.17,1,721,2.0,5.2,11.74,0
64,95,4096,8,300,256,5,666,1.8,54.3,7.42,48.78,8,586,1.9,114.9,10.63,0
8,250,2048,8,200,64,0,914,5.3,15.5,0.0,89.26,6,577,0.8,41.3,7.97,0
16,95,2048,48,450,256,3,992,25.9,128.6,17.81,217.97,12,528,8.4,26.1,18.35,0
32,250,2048,16,300,128,14,225,0.7,30.2,109.38,32.96,5,576,3.0,19.9,3.83,0
24,95,8192,48,300,256,8,1615,15.5,68.1,31.67,59.14,7,2502,4.3,44.9,18.55,0
64,250,8192,48,200,512,43,6095,36.8,58.4,167.97,148.8,17,536,3.2,341.4,6.15,0
64,95,2048,48,200,512,18,1257,20.9,5.5,26.72,122.75,17,298,3.4,123.9,12.68,0
32,125,2048,16,450,512,8,463,1.4,279.2,31.25,101.73,9,440,4.0,103.3,19.64,0
8,250,2048,8,200,64,1,260,4.7,32.6,31.25,25.39,2,416,1.1,10.8,12.41,0
64,180,4096,16,450,256,29,461,3.9,138.5,81.56,50.65,6,935,4.2,74.6,9.55,0
64,125,2048,24,450,512,4,366,7.7,226.7,7.81,80.42,44,399,6.9,97.3,18.07,0
64,95,4096,8,300,128,21,1792,4.4,18.1,31.17,131.25,15,927,2.0,61.9,14.41,0
8,250,2048,48,200,512,1,1204,1.9,90.3,31.25,117.58,4,221,7.2,128.8,19.26,0
16,250,10240,8,300,256,3,3413,2.8,75.9,46.88,99.99,5,1151,1.0,34.4,15.64,0
24,250,2048,24,300,512,15,226,3.6,102.5,156.25,33.11,6,429,6.6,34.0,2.28,0
16,180,4096,48,200,128,8,753,1.5,38.5,90.0,36.77,2,806,12.0,25.0,13.08,0
16,180,2048,8,300,64,10,737,4.7,14.7,112.5,107.96,3,556,2.2,16.2,19.4,0
32,180,4096,48,450,256,19,7,11.7,143.0,106.88,0.77,4,3801,6.7,12.9,5.76,0
8,95,8192,16,350,512,0,1863,4.9,288.2,0.0,79.6,2,830,8.2,57.4,0.82,0
8,95,2048,24,300,64,1,438,4.8,4.8,11.88,64.16,4,575,6.2,52.6,19.71,0
24,125,8192,24,350,64,15,2264,9.2,32.8,78.12,96.73,3,1203,5.6,10.1,19.56,0
24,180,2048,8,300,64,6,731,2.0,19.9,45.0,107.08,5,723,2.4,20.5,15.87,0
16,180,8192,24,300,128,3,3135,4.7,10.4,33.75,114.81,2,3862,4.6,37.5,11.11,0
24,125,8192,24,450,64,12,5146,3.7,13.1,62.5,282.68,3,1133,5.4,17.5,7.45,0
24,95,8192,24,350,64,16,2001,2.1,17.2,63.33,85.49,6,2565,1.7,19.7,0.97,0
8,180,4096,8,200,128,3,771,0.7,29.5,67.5,37.65,3,835,0.8,19.6,13.51,0
24,95,4096,8,450,128,6,3115,2.2,58.9,23.75,342.22,16,388,3.0,33.6,16.02,0
24,180,8192,8,350,512,8,1930,0.4,199.4,60.0,82.46,4,5016,2.3,142.4,4.69,0
32,180,8192,24,350,512,5,3349,9.6,92.4,28.12,143.08,9,612,2.4,105.9,12.44,0
32,250,10240,8,200,128,4,2121,1.7,15.9,31.25,41.43,15,1118,0.9,18.0,17.91,0
16,125,8192,24,300,256,3,2640,8.5,52.0,23.44,96.68,3,1585,7.0,45.9,13.43,0
16,250,2048,16,200,128,10,632,6.0,18.9,156.25,61.72,4,259,5.5,32.1,4.75,0
8,250,10240,24,350,512,2,631,11.1,263.1,62.5,21.57,2,584,2.3,80.1,7.94,0
8,125,2048,48,450,64,6,462,14.7,11.1,93.75,101.51,1,1278,20.4,17.7,17.73,0
64,250,8192,48,350,512,12,2054,12.3,158.4,46.88,87.76,10,3982,10.8,122.2,6.84,0
24,95,8192,24,300,128,1,3437,6.5,47.3,3.96,125.87,7,2682,2.2,27.1,16.15,0
24,125,10240,24,200,256,10,1156,10.6,28.1,52.08,22.58,8,7016,7.1,34.0,8.16,0
24,95,2048,16,200,256,2,1580,4.3,154.3,7.92,154.3,7,267,1.5,53.3,19.95,0
8,125,2048,24,300,512,0,544,2.5,150.1,0.0,79.69,2,606,15.7,69.6,18.31,0
8,125,10240,16,200,64,3,1537,2.4,19.4,46.88,30.02,1,663,4.2,23.5,2.69,0
8,125,8192,48,300,512,4,1722,15.3,441.6,62.5,63.06,2,1585,9.2,34.3,1.34,0
16,250,8192,16,350,256,2,1798,3.0,80.8,31.25,76.82,4,2373,2.5,133.0,4.04,0
16,250,8192,16,350,256,7,942,4.5,60.2,109.38,40.25,2,3552,1.9,57.6,12.69,0
8,125,10240,8,200,64,2,1969,2.0,25.2,31.25,38.46,1,3966,4.5,7.5,6.87,0
32,125,8192,48,200,128,1,3027,7.3,15.0,3.91,73.9,8,938,8.6,23.3,19.18,0
32,95,2048,24,200,64,5,361,3.2,9.9,14.84,35.25,6,105,3.8,15.3,10.82,0
8,250,10240,24,200,128,2,1374,8.9,40.5,62.5,26.84,1,2285,2.7,36.2,6.51,0
8,250,2048,48,300,256,4,230,19.4,63.8,125.0,33.69,2,484,4.4,122.1,18.18,0
32,250,10240,24,300,512,1,1921,16.5,48.0,7.81,56.28,6,1894,1.4,327.4,10.59,0
8,125,8192,48,300,512,1,962,16.8,373.0,15.62,35.23,3,930,28.6,89.2,14.85,0
64,95,10240,48,200,512,26,2556,14.0,317.9,38.59,49.92,18,2265,6.7,66.4,13.07,0
32,95,4096,48,200,64,18,651,31.1,11.9,53.44,31.79,4,2027,2.5,16.0,5.99,0
32,250,2048,16,300,128,9,196,4.0,21.4,70.31,28.71,10,422,3.9,35.6,4.83,0
32,180,4096,48,300,128,2,999,10.1,16.6,11.25,73.17,7,1121,9.7,54.2,3.11,0
16,180,10240,8,300,512,5,4129,2.0,42.6,56.25,120.97,8,1969,3.4,64.4,8.77,0
16,250,2048,24,200,256,3,1349,4.5,163.9,46.88,131.74,2,233,1.5,73.4,19.89,0
16,250,2048,24,350,64,5,160,4.3,9.3,78.12,27.34,2,436,3.6,35.7,13.49,0
24,180,8192,24,200,64,5,2002,4.6,10.1,37.5,48.88,3,745,2.4,5.6,18.05,0
64,95,4096,48,350,512,18,641,2.7,50.9,26.72,54.77,12,819,7.8,180.5,3.7,0
24,180,8192,48,350,512,1,2380,9.5,66.1,7.5,101.68,4,4544,8.7,110.9,2.04,0
32,125,10240,16,450,256,21,885,2.7,31.9,82.03,38.89,3,5989,3.6,32.4,13.06,0
64,95,4096,8,300,256,41,1654,4.0,27.7,60.86,121.14,4,687,2.7,40.6,1.02,0
8,250,10240,24,200,128,3,1724,6.1,35.5,93.75,33.67,3,719,4.4,19.8,1.21,0
24,250,10240,24,350,64,7,1927,2.3,21.9,72.92,65.86,3,2630,1.9,15.6,4.14,0
32,95,8192,8,300,128,5,1175,0.9,58.9,14.84,43.03,10,3422,1.2,8.2,6.04,0
8,250,10240,24,200,128,3,4565,4.7,70.2,93.75,89.16,1,2322,2.3,26.5,7.88,0
16,180,2048,8,200,64,3,388,3.8,19.2,33.75,37.89,2,341,1.6,17.6,0.02,0
8,250,2048,48,200,512,2,856,4.5,196.7,62.5,83.59,3,134,6.2,57.9,10.16,0
64,125,10240,48,200,64,10,4984,11.6,8.2,19.53,97.34,20,1012,23.9,7.2,8.63,0
16,125,8192,24,300,256,0,1175,2.5,17.1,0.0,43.03,5,5572,6.6,18.7,15.61,0
8,125,2048,24,300,512,2,339,5.5,281.1,31.25,49.66,4,513,5.4,63.6,5.21,0
24,250,2048,48,200,64,5,525,28.4,13.5,52.08,51.27,14,541,4.4,7.4,6.45,0
8,95,10240,16,350,128,2,2247,6.4,75.2,23.75,76.8,1,2249,3.5,29.8,9.6,0
8,125,10240,24,300,256,1,2995,4.7,118.7,15.62,87.74,3,880,13.4,34.1,13.67,0
32,95,2048,24,200,64,8,712,7.2,12.3,23.75,69.53,4,1158,6.4,15.6,6.61,0
32,125,4096,24,200,64,8,783,17.0,8.1,31.25,38.23,9,1093,1.9,10.9,2.76,0
32,125,10240,24,200,256,14,4804,11.0,26.5,54.69,93.83,6,4691,6.7,34.6,3.77,0
8,95,8192,48,350,512,0,2493,9.7,59.5,0.0,106.51,2,1304,29.1,366.9,0.63,0
64,95,4096,8,300,256,19,197,1.8,29.5,28.2,14.43,9,1019,1.6,72.6,2.21,0
32,250,8192,48,200,256,9,3739,21.0,49.8,70.31,91.28,19,1161,9.2,88.1,11.38,0
16,250,8192,16,300,256,2,1507,3.2,74.4,31.25,55.19,2,992,1.9,74.2,0.09,0
24,250,2048,8,450,64,16,406,1.7,8.9,166.67,89.21,2,184,1.2,15.2,3.25,0
64,95,4096,8,300,256,14,938,0.5,62.8,20.78,68.7,40,371,3.5,21.6,15.46,0
8,125,8192,8,450,512,1,2974,1.9,69.6,15.62,163.37,3,1818,1.1,58.2,12.07,0
32,180,10240,8,200,128,24,1808,0.2,31.4,135.0,35.31,3,557,1.1,36.3,7.23,0
8,125,8192,48,300,512,4,5370,12.8,100.4,62.5,196.66,2,2202,4.1,93.8,16.26,0
64,95,10240,24,200,512,7,367,10.9,328.0,10.39,7.17,36,4806,4.1,34.0,12.01,0
24,95,8192,24,350,64,4,3531,11.0,30.5,15.83,150.86,7,1740,1.6,9.3,4.33,0
16,125,4096,48,350,64,3,1979,17.8,9.7,23.44,169.1,1,516,12.4,8.0,8.28,0
64,95,4096,8,350,128,29,750,2.8,21.9,43.05,64.09,20,744,2.4,47.6,6.35,0
64,95,4096,8,350,128,40,2603,1.3,37.5,59.38,222.42,6,254,2.1,48.4,6.34,0
8,125,10240,8,350,128,1,1108,3.0,42.8,15.62,37.87,3,6048,2.4,20.5,17.8,0
32,125,4096,24,300,64,3,806,3.2,8.2,11.72,59.03,22,2121,3.4,38.3,11.88,0
8,125,2048,48,450,64,2,562,27.9,23.6,31.25,123.49,2,592,5.7,11.2,3.46,0
8,125,8192,48,300,512,0,1123,7.9,100.7,0.0,41.13,1,553,6.6,47.8,0.08,0
64,125,4096,16,300,128,18,1532,11.8,39.6,35.16,112.21,16,1155,2.1,37.5,19.86,0
32,180,10240,8,200,128,3,2772,1.9,9.2,16.88,54.14,8,2864,1.3,67.5,10.72,0
8,180,4096,8,200,128,0,1046,2.2,46.0,0.0,51.07,3,1038,1.4,18.4,12.44,0
24,250,2048,8,350,256,15,941,1.5,37.5,156.25,160.82,7,554,0.6,36.4,5.46,0
32,125,2048,8,450,256,5,619,2.4,117.5,19.53,136.01,9,243,3.4,38.0,1.01,0
24,180,8192,24,200,64,4,481,11.2,9.0,30.0,11.74,3,2140,8.7,13.4,5.9,0
16,250,8192,16,300,256,1,3988,4.3,164.7,15.62,146.04,4,1162,7.1,47.5,0.36,0
16,125,4096,16,450,64,5,937,2.5,20.4,39.06,102.94,4,1056,7.2,17.3,11.91,0
16,250,8192,16,350,256,1,2006,2.6,91.2,15.62,85.71,8,710,1.8,44.1,17.48,0
16,95,10240,8,200,512,5,2185,0.9,71.6,29.69,42.68,2,2411,2.3,142.3,5.07,0
8,180,4096,8,200,128,1,895,0.8,27.7,22.5,43.7,3,1152,0.6,37.7,14.52,0
32,180,8192,48,200,128,3,4119,16.9,90.7,16.88,100.56,7,1845,12.0,24.4,11.34,0
24,95,10240,24,300,256,8,6871,11.5,45.0,31.67,201.3,2,724,2.1,57.5,8.39,0
64,95,4096,8,300,256,36,442,1.6,30.2,53.44,32.37,16,653,1.7,62.3,0.25,0
64,95,8192,16,450,256,24,1559,4.3,72.5,35.62,85.64,12,1090,2.4,25.5,15.92,0
32,125,2048,24,350,256,12,390,10.7,32.1,46.88,66.65,3,983,5.3,46.6,8.16,0
64,250,2048,48,450,64,24,923,9.3,18.9,93.75,202.81,11,595,18.2,39.4,19.23,0
16,125,8192,24,300,256,4,2325,4.0,25.3,31.25,85.14,5,2197,4.4,76.4,3.57,0
32,125,8192,48,200,128,12,2228,11.9,0.1,46.88,54.39,2,4025,11.3,21.3,3.99,0
24,95,8192,24,200,128,4,2348,8.5,26.6,15.83,57.32,13,5202,9.0,10.4,18.25,0
8,125,10240,24,300,256,1,1673,1.0,98.4,15.62,49.01,2,1597,21.5,56.2,4.24,0
32,125,2048,24,350,256,4,551,5.5,51.4,15.62,94.17,20,513,15.7,110.2,9.4,0
8,250,4096,16,200,64,2,761,5.2,17.4,62.5,37.16,2,335,4.1,8.1,17.57,0
16,180,10240,16,350,128,1,3654,7.2,46.2,11.25,124.89,4,2190,4.4,19.9,7.58,0
24,180,8192,8,350,512,1,1624,4.0,56.7,7.5,69.38,3,1855,1.0,119.2,14.83,0
16,95,8192,48,200,128,5,352,9.6,20.6,29.69,8.59,2,1582,20.6,53.1,14.62,0
24,125,8192,24,350,64,7,2491,6.5,35.5,36.46,106.43,10,671,2.6,3.9,15.66,0
16,250,10240,8,300,256,7,3927,0.5,188.3,109.38,115.05,4,5036,1.3,21.1,2.09,0
24,250,4096,16,300,128,1,684,3.3,13.1,10.42,50.1,8,409,1.8,10.0,18.08,0
24,180,10240,24,450,64,2,7455,2.6,13.0,15.0,327.61,3,1514,5.3,4.1,17.31,0
32,180,8192,48,200,128,11,1218,5.1,79.8,61.88,29.74,5,2974,16.7,9.8,14.39,0
24,125,10240,48,350,512,6,4596,18.7,45.5,31.25,157.09,7,3013,5.4,49.8,17.75,0
16,95,8192,48,200,128,2,2705,18.8,13.0,11.88,66.04,1,2342,11.1,34.2,12.17,0
8,125,8192,8,450,512,2,832,2.0,13.5,31.25,45.7,2,5518,5.5,131.3,8.18,0
8,125,2048,48,450,64,2,248,9.4,21.5,31.25,54.49,2,903,16.2,18.0,2.62,0
8,250,2048,48,200,512,0,267,5.2,56.1,0.0,26.07,2,106,6.4,136.0,3.26,0
32,125,10240,16,450,256,9,599,4.1,74.0,35.16,26.32,6,885,2.8,13.7,6.79,0
16,180,4096,24,200,256,11,873,10.4,143.3,123.75,42.63,4,1471,6.0,80.8,4.87,0
24,95,8192,16,200,256,1,1419,6.1,83.6,3.96,34.64,7,1589,1.0,73.0,17.62,0
8,125,10240,8,350,256,4,2295,2.4,109.1,62.5,78.44,2,1723,1.4,58.3,5.19,0
24,250,2048,24,300,64,15,412,6.8,24.4,156.25,60.35,7,1007,3.5,35.4,0.9,0
8,180,4096,16,350,512,1,1760,3.7,167.6,22.5,150.39,2,456,2.6,131.2,9.63,0
24,125,8192,24,350,64,9,3238,5.9,9.5,46.88,138.34,4,1813,5.8,10.2,19.19,0
32,250,2048,16,300,128,11,312,5.5,29.7,85.94,45.7,12,245,1.0,64.7,2.21,0
16,250,2048,48,300,512,13,364,2.5,132.0,203.12,53.32,2,189,27.8,97.2,5.05,0
32,250,4096,16,350,128,10,1558,2.9,30.8,78.12,133.13,10,637,8.9,7.3,15.3,0
24,95,8192,24,200,128,1,2112,8.1,59.9,3.96,51.56,13,4127,6.8,31.4,17.53,0
24,95,8192,24,350,64,8,2547,2.7,16.0,31.67,108.82,7,2738,1.6,12.5,19.69,0
32,125,4096,8,350,128,8,1178,4.2,40.3,31.25,100.66,21,684,0.6,21.7,6.09,0
24,125,4096,8,200,512,11,1155,3.4,290.8,57.29,56.4,4,778,4.0,135.1,1.94,0
32,125,2048,24,350,256,5,912,7.0,58.6,19.53,155.86,9,401,1.6,13.4,12.34,0
64,125,4096,16,300,128,28,1189,1.7,20.9,54.69,87.08,14,836,1.0,15.5,10.85,0
32,250,8192,8,450,256,7,3290,1.8,49.3,54.69,180.73,7,2158,0.7,67.8,3.31,0
24,180,8192,8,350,512,7,1441,1.7,144.4,52.5,61.57,3,1133,2.3,64.5,5.07,0
64,180,4096,16,450,256,25,982,2.0,48.1,70.31,107.89,16,832,4.2,51.7,7.43,0
64,95,10240,24,200,512,37,6309,2.6,47.3,54.92,123.22,15,2357,3.0,262.9,4.14,0
8,250,2048,24,200,512,1,384,10.3,184.6,31.25,37.5,3,161,5.7,74.1,5.29,0
32,95,8192,16,300,256,9,4125,7.4,55.4,26.72,151.06,2,483,4.4,43.5,16.93,0
8,125,2048,24,300,512,5,462,3.0,55.7,78.12,67.68,1,382,4.9,131.8,3.59,0
8,250,4096,16,200,64,2,3124,8.3,43.9,62.5,152.54,3,276,2.5,6.1,8.27,0
16,125,10240,16,200,128,4,3169,10.5,55.8,31.25,61.89,5,2916,1.2,18.3,4.91,0
8,95,8192,48,350,512,2,1870,25.3,26.5,23.75,79.9,2,1033,6.9,63.1,14.2,0
32,250,8192,8,200,512,7,4643,1.3,89.9,54.69,113.35,3,1611,0.7,139.9,17.03,0
16,180,10240,16,350,128,5,1393,2.6,43.6,56.25,47.61,1,2664,2.9,10.1,6.79,0
24,125,10240,24,350,128,9,6321,5.1,30.7,46.88,216.05,13,1162,2.4,15.7,4.97,0
16,250,8192,16,350,256,2,2306,10.1,88.9,31.25,98.52,4,1152,2.5,91.3,18.8,0
64,95,8192,16,450,256,7,3200,1.4,62.5,10.39,175.78,17,4144,13.6,69.5,17.76,0
16,250,2048,16,200,128,1,1038,4.9,32.4,15.62,101.37,12,161,3.5,22.6,15.55,0
8,125,4096,48,450,64,0,2498,25.6,5.0,0.0,274.44,2,815,4.7,14.5,9.81,0
8,250,2048,24,200,512,0,1304,10.9,135.5,0.0,127.34,2,236,6.0,52.8,10.59,0
8,125,10240,8,350,256,4,856,2.6,67.8,62.5,29.26,2,663,2.0,24.2,2.51,0
8,250,2048,48,200,512,1,156,27.4,268.7,31.25,15.23,5,583,18.1,55.7,19.04,0
32,250,2048,16,450,64,8,635,3.1,12.2,62.5,139.53,9,477,10.1,28.2,9.64,0
8,180,8192,8,350,64,1,2527,2.9,11.5,22.5,107.97,1,1001,0.7,11.0,19.06,0
8,250,2048,8,350,128,0,812,2.7,27.4,0.0,138.77,2,798,1.0,23.8,3.27,0
24,95,8192,48,200,64,4,1795,5.5,21.0,15.83,43.82,8,1511,30.0,22.4,18.34,0
32,250,2048,24,350,64,5,220,6.8,7.5,39.06,37.6,13,140,6.7,15.0,12.16,0
32,125,10240,16,350,256,12,797,3.6,32.8,46.88,27.24,12,2242,3.9,39.9,9.3,0
8,180,4096,8,200,128,1,1035,0.6,55.8,22.5,50.54,1,870,1.7,13.6,9.38,0
64,95,10240,48,200,512,13,6266,13.3,191.9,19.3,122.38,43,1595,3.4,116.0,6.83,0
24,95,2048,16,200,256,10,187,4.9,70.2,39.58,18.26,7,396,1.7,17.2,12.45,0
16,250,10240,8,300,256,4,4036,0.8,23.9,62.5,118.24,4,1428,2.1,75.5,15.87,0
64,250,2048,48,450,64,14,964,2.6,23.9,54.69,211.82,9,187,3.7,5.6,4.24,0
64,95,4096,48,350,512,15,138,6.8,120.6,22.27,11.79,13,212,8.1,108.7,18.48,0
24,95,4096,8,450,128,8,1412,1.9,77.1,31.67,155.13,11,789,4.1,34.7,8.76,0
8,250,2048,8,200,64,2,546,0.8,24.1,62.5,53.32,1,349,4.8,21.7,19.87,0
16,180,4096,16,350,64,4,1529,6.6,40.7,45.0,130.65,5,447,4.4,17.2,1.24,0
8,125,2048,48,450,64,0,830,14.1,20.2,0.0,182.37,2,511,9.4,18.8,2.58,0
24,125,10240,24,300,128,19,5439,4.8,52.4,98.96,159.35,2,724,5.4,18.8,3.05,0
24,125,10240,24,200,256,12,741,3.7,25.1,62.5,14.47,5,1362,5.5,63.2,12.65,0
24,125,10240,24,300,128,10,1958,2.9,83.1,52.08,57.36,10,2616,5.6,16.0,7.86,0
64,180,4096,16,450,256,41,1347,5.4,97.2,115.31,147.99,14,347,2.5,15.5,18.44,0
32,180,10240,8,200,128,9,460,0.3,80.7,50.62,8.98,4,2363,2.3,25.9,6.38,0
16,95,4096,24,450,256,3,1490,7.7,54.6,17.81,163.7,5,277,9.5,23.2,11.99,0
64,250,10240,8,300,128,3,3700,1.8,65.1,11.72,108.4,8,834,1.3,25.4,9.46,0
24,95,4096,8,450,128,6,254,1.6,41.4,23.75,27.91,2,413,2.3,64.9,13.56,0
24,95,4096,48,200,128,8,737,3.3,50.2,31.67,35.99,12,407,8.1,18.8,0.81,0
24,250,2048,8,350,256,6,393,2.4,27.6,62.5,67.16,7,916,0.5,28.3,8.99,0
8,250,2048,8,350,128,2,570,2.2,27.3,62.5,97.41,2,590,1.9,37.6,13.2,0
16,125,4096,16,450,64,2,845,11.1,42.0,15.62,92.83,4,349,1.3,17.7,6.05,0
64,250,2048,24,450,64,30,1286,0.9,29.3,117.19,282.57,6,193,1.5,4.7,18.95,0
32,125,4096,24,200,64,5,2286,15.5,11.1,19.53,111.62,21,936,3.0,15.1,7.33,0
16,125,4096,16,450,64,2,1783,4.5,46.7,15.62,195.89,2,1215,3.1,6.8,18.14,0
24,95,8192,24,200,128,5,676,4.9,63.4,19.79,16.5,10,743,1.7,22.4,6.85,0
8,125,10240,16,200,64,1,630,3.4,10.2,15.62,12.3,3,1429,2.7,43.1,13.35,0
16,125,10240,16,200,128,0,5808,4.8,33.9,0.0,113.44,4,1275,2.3,52.4,3.96,0
8,180,4096,16,350,512,0,620,2.7,9.2,0.0,52.98,6,1141,3.7,69.1,15.56,0
64,95,2048,48,200,512,13,905,19.6,128.0,19.3,88.38,9,911,2.9,68.2,2.77,0
32,250,2048,24,350,64,8,1261,9.2,13.2,62.5,215.5,6,282,11.1,6.1,10.84,0
32,125,2048,16,450,512,12,818,10.7,83.9,46.88,179.74,6,380,2.5,104.2,19.06,0
64,95,10240,48,200,512,22,2535,12.4,160.0,32.66,49.51,8,4705,28.2,262.6,5.1,0
24,95,2048,16,450,512,4,717,0.7,78.0,15.83,157.54,6,1181,3.1,325.0,19.52,0
24,250,2048,8,300,128,4,264,3.5,42.5,41.67,38.67,6,416,1.1,25.6,13.71,0
8,95,8192,48,350,512,3,2412,14.5,182.7,35.62,103.05,2,658,22.2,109.2,0.46,0
8,250,2048,48,300,256,2,599,31.9,103.3,62.5,87.74,2,388,5.5,20.9,17.5,0
8,250,8192,48,200,128,2,4379,13.6,46.4,62.5,106.91,2,1946,6.5,14.3,8.88,0
32,125,2048,16,300,128,8,180,7.2,5.1,31.25,26.37,9,161,1.5,21.7,18.72,0
16,250,2048,24,200,256,2,407,4.0,50.0,31.25,39.75,2,585,7.0,148.7,17.08,0
64,180,8192,48,200,128,9,1573,11.3,33.7,25.31,38.4,11,746,33.3,36.1,9.8,0
8,250,10240,8,300,512,2,4159,2.1,140.4,62.5,121.85,2,767,4.7,188.5,6.68,0
64,95,10240,48,200,512,14,3733,8.6,140.1,20.78,72.91,16,888,23.7,52.6,4.88,0
64,180,2048,24,450,512,2,876,8.7,192.5,5.62,192.48,19,531,5.9,135.3,18.48,0
32,125,10240,16,450,256,1,1571,1.4,108.9,3.91,69.04,9,2004,3.2,57.2,16.87,0
32,180,4096,48,300,128,12,670,14.8,10.1,67.5,49.07,10,215,19.4,30.4,14.9,0
24,125,2048,8,300,512,17,1116,4.8,335.1,88.54,163.48,3,300,0.4,130.5,5.79,0
24,125,10240,24,350,128,6,785,2.4,22.4,31.25,26.83,2,2177,6.8,20.8,5.16,0
24,125,2048,48,200,128,5,20,12.2,55.8,26.04,1.95,4,1495,5.2,23.9,15.49,0
24,250,2048,8,450,64,2,1129,1.2,18.7,20.83,248.07,9,677,1.2,3.6,19.97,0
24,125,2048,8,300,256,6,170,3.4,105.7,31.25,24.9,13,420,0.5,117.7,19.62,0
8,250,8192,8,300,256,1,792,4.7,31.6,31.25,29.0,5,1617,1.4,67.9,2.76,0
64,250,4096,24,450,128,10,2758,7.8,27.5,39.06,303.0,12,1063,4.0,22.1,17.7,0
64,180,2048,24,450,512,3,1099,0.8,22.9,8.44,241.48,41,166,9.6,355.2,2.24,0
16,180,2048,16,450,64,1,396,6.1,23.7,11.25,87.01,6,335,8.8,7.8,8.47,0
24,180,10240,24,450,64,8,1829,13.5,12.8,60.0,80.38,14,6165,6.5,18.5,11.04,0
16,250,8192,16,350,256,10,2634,3.0,19.1,156.25,112.54,5,2083,3.5,42.3,19.99,0
24,180,8192,24,200,64,3,2231,8.4,18.9,22.5,54.47,3,2681,3.4,19.0,8.5,0
64,250,8192,24,200,512,8,2802,6.0,141.1,31.25,68.41,16,2007,4.9,42.3,1.03,0
24,95,8192,24,200,128,5,2312,9.2,63.8,19.79,56.45,11,1247,3.2,22.8,16.64,0
24,95,2048,8,200,64,3,479,3.8,25.8,11.88,46.78,6,542,0.9,9.2,17.86,0
8,125,10240,8,350,64,3,2246,1.1,1.1,46.88,76.77,2,1715,0.8,15.4,17.58,0
24,125,2048,16,200,128,4,907,4.0,31.6,20.83,88.57,13,513,1.3,35.1,0.01,0
16,95,4096,24,450,256,2,2162,7.2,80.2,11.88,237.52,8,726,7.1,29.3,15.49,0
8,250,2048,48,200,512,1,908,20.2,102.2,31.25,88.67,2,574,7.2,87.9,13.05,0
24,125,4096,8,350,64,8,827,1.8,8.8,41.67,70.67,4,1071,5.6,15.9,16.46,0
32,95,8192,8,300,128,10,907,1.0,45.4,29.69,33.22,5,3932,1.1,17.4,3.36,0
32,95,8192,16,300,256,6,1350,3.6,70.6,17.81,49.44,9,5580,2.4,30.0,10.78,0
24,250,2048,8,300,128,0,1411,5.4,73.3,0.0,206.69,3,348,1.2,48.0,1.86,0
24,250,2048,24,300,64,8,187,4.5,6.2,83.33,27.39,5,607,2.2,11.3,10.08,0
64,250,2048,24,450,64,7,1294,15.9,4.3,27.34,284.33,16,539,3.5,49.5,15.01,0
24,250,2048,8,300,128,12,629,1.2,43.1,125.0,92.14,6,363,2.2,17.7,9.29,0
16,95,10240,16,300,64,4,1777,3.8,8.6,23.75,52.06,5,1858,3.1,20.8,15.03,0
16,180,4096,16,350,64,1,1280,2.2,16.4,11.25,109.38,5,270,3.8,12.7,2.38,0
24,95,4096,48,200,128,6,57,12.1,45.5,23.75,2.78,16,2615,11.8,69.6,3.51,0
32,95,4096,8,450,512,16,653,3.0,174.9,47.5,71.74,7,235,0.5,230.4,16.46,0
8,125,10240,8,350,256,5,3690,4.8,12.4,78.12,126.12,1,5556,1.3,101.6,2.74,0
24,95,2048,16,300,64,6,1081,4.8,19.1,23.75,158.35,2,165,0.8,6.5,17.5,0
64,125,10240,48,200,512,34,3440,15.3,63.3,66.41,67.19,6,2999,13.4,135.3,3.85,0
24,125,10240,24,300,128,3,1992,2.1,2.2,15.62,58.36,9,1294,3.6,68.3,4.42,0
24,95,4096,16,300,64,2,3296,1.1,17.7,7.92,241.41,13,579,3.6,37.3,5.78,0
32,180,4096,48,450,256,21,420,15.4,8.8,118.12,46.14,5,2772,22.5,99.7,14.69,0
24,180,8192,24,200,64,15,3157,9.1,26.5,112.5,77.08,5,1907,4.6,8.9,11.33,0
